DataSeries,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total Greenhouse Gas Emissions,55.5,58.6,58.3,53.9,55.6,56.8,56.1,54.1,54.4,52.6,51.6,51.3,52.1,48.9,44.2,44.1,44.5,44.6,43.1,43.9,42.3,42.3,40.6,39.7
    Carbon Dioxide (CO2),48.2,50.4,51.2,47.7,49.7,51.2,50.9,49.8,50.2,48.5,47.8,47.8,48.7,45.8,41.9,42,42.6,42,40.7,41.8,40.3,40.8,39.3,38.3
    Methane (CH4),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1
    Nitrous Oxide (N2O),0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
    Hydrofluorocarbons (HFCs),4,4.2,3.7,3.3,3.1,2.8,2.4,2.1,1.9,1.8,1.6,1.4,1.3,1.1,1,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.1
    Perfluorocarbons (PFCs),2.1,2.5,2.1,1.6,1.6,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.5,1.4,0.9,0.8,0.8,1.3,1.2,1,1,0.7,0.6,0.8
    Sulphur Hexafluoride (SF6),0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0,0,0,0
    Nitrogen Trifluoride (NF3),0.4,0.6,0.5,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.3,0.2,0.2,0.2,0.1,0,0.1
% Of Total GHG Emissions - Carbon Dioxide (CO2),86.9,86,87.8,88.6,89.4,90,90.8,91.9,92.3,92.2,92.7,93.2,93.5,93.7,94.7,95.4,95.7,94,94.4,95.3,95.2,96.4,96.7,96.4
% Of Total GHG Emissions - Methane (CH4),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3
% Of Total GHG Emissions - Nitrous Oxide (N2O),1,1,1,1.1,1,0.9,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.8,0.7,0.7,0.7
% Of Total GHG Emissions - Hydrofluorocarbons (HFCs),7.2,7.1,6.3,6.2,5.6,5,4.3,3.8,3.5,3.4,3.1,2.8,2.4,2.2,2.2,1.8,1.5,1.3,1.1,0.9,0.8,0.7,0.5,0.4
% Of Total GHG Emissions - Perfluorocarbons (PFCs),3.8,4.3,3.6,3,2.9,3,3,2.9,2.9,2.9,2.9,2.8,2.9,2.8,2,1.8,1.7,2.9,2.8,2.3,2.4,1.7,1.5,1.9
% Of Total GHG Emissions - Sulphur Hexafluoride (SF6),0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
% Of Total GHG Emissions - Nitrogen Trifluoride (NF3),0.8,1.1,0.8,0.7,0.7,0.7,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0,0,0.7,0.6,0.4,0.4,0.2,0.1,0.2
