DataSeries,2023,2022,2021,2020
Primary Emissions - Power,38.7,36.5,39.2,39.8
    Secondary Emissions - Industry,17,16.1,16.6,16.2
    Secondary Emissions - Transport,2.2,2,2.2,2.3
    Secondary Emissions - Buildings,12.4,11.7,12.6,13.1
    Secondary Emissions - Household,6.1,5.8,6.6,7.1
    Secondary Emissions - Waste And Water,0.7,0.7,0.8,0.8
    Secondary Emissions - Others,0.2,0.3,0.4,0.3
Primary Emissions - Industry,47.3,49,44.4,44.4
Primary Emissions - Transport,11.7,12,14.2,13.7
Primary Emissions - Buildings,0.8,0.9,0.9,0.8
Primary Emissions - Household,0.4,0.4,0.4,0.5
Primary Emissions - Waste And Water,0.6,0.7,0.6,0.6
Primary Emissions - Others,0.6,0.5,0.2,0.2
