"Year","SSP1-1.9","SSP1-1.9-Range (low)","SSP1-1.9-Range (high)","SSP1-2.6","SSP1-2.6-Range (low)","SSP1-2.6-Range (high)","SSP2-4.5","SSP2-4.5-Range (low)","SSP2-4.5-Range (high)","SSP3-7.0","SSP3-7.0-Range (low)","SSP3-7.0-Range (high)","SSP5-8.5","SSP5-8.5-Range (low)","SSP5-8.5-Range (high)","SSP1-2.6 Low Confidence","SSP1-2.6 Low Confidence-Range (low)","SSP1-2.6 Low Confidence-Range (high)","SSP5-8.5 Low Confidence","SSP5-8.5 Low Confidence-Range (low)","SSP5-8.5 Low Confidence-Range (high)"
2020,0.052,0.007,0.098,0.047,-0.004,0.099,0.049,0,0.099,0.047,0,0.094,0.046,-0.001,0.093,0.05,-0.004,0.109,0.048,-0.001,0.104
2030,0.098,0.025,0.176,0.086,0.01,0.167,0.09,0.015,0.169,0.088,0.014,0.167,0.094,0.02,0.173,0.092,0.01,0.187,0.098,0.019,0.196
2040,0.136,0.031,0.246,0.129,0.023,0.24,0.138,0.033,0.249,0.139,0.035,0.25,0.156,0.049,0.269,0.137,0.023,0.281,0.162,0.047,0.319
2050,0.184,0.05,0.33,0.186,0.049,0.332,0.2,0.064,0.35,0.209,0.071,0.357,0.228,0.091,0.379,0.196,0.049,0.387,0.239,0.086,0.469
2060,0.216,0.05,0.4,0.232,0.063,0.414,0.26,0.09,0.447,0.276,0.104,0.461,0.304,0.133,0.496,0.246,0.063,0.493,0.325,0.127,0.654
2070,0.266,0.065,0.488,0.292,0.088,0.515,0.333,0.127,0.564,0.364,0.156,0.59,0.403,0.193,0.64,0.306,0.088,0.602,0.438,0.193,0.881
2080,0.308,0.073,0.567,0.344,0.106,0.609,0.406,0.162,0.681,0.458,0.213,0.735,0.515,0.263,0.803,0.361,0.106,0.716,0.573,0.263,1.144
2090,0.356,0.083,0.655,0.397,0.122,0.701,0.482,0.197,0.803,0.568,0.281,0.892,0.644,0.353,0.986,0.417,0.122,0.83,0.736,0.353,1.436
2100,0.383,0.076,0.719,0.448,0.133,0.801,0.568,0.248,0.936,0.691,0.359,1.073,0.79,0.453,1.194,0.471,0.133,0.952,0.926,0.453,1.767
2110,0.433,0.08,0.815,0.518,0.145,0.926,0.646,0.264,1.085,0.776,0.371,1.233,0.888,0.465,1.395,0.546,0.145,1.077,1.11,0.465,2.094
2120,0.471,0.083,0.896,0.57,0.158,1.024,0.724,0.299,1.215,0.89,0.438,1.406,1.018,0.541,1.593,0.606,0.158,1.204,1.328,0.541,2.403
2130,0.508,0.083,0.973,0.622,0.169,1.12,0.8,0.332,1.343,1.006,0.502,1.578,1.143,0.614,1.786,0.667,0.169,1.33,1.567,0.614,3.131
2140,0.543,0.083,1.049,0.671,0.178,1.215,0.876,0.364,1.471,1.118,0.565,1.75,1.262,0.68,1.974,0.728,0.178,1.46,1.83,0.68,4.135
2150,0.577,0.082,1.124,0.72,0.188,1.309,0.951,0.396,1.596,1.226,0.624,1.92,1.374,0.742,2.158,0.792,0.188,1.589,2.121,0.742,5.254
